--- winxp.dat	2019-05-07 19:32:18.980564900 +0900
+kernel32.dll	GetNamedPipeServerSessionId
-kernel32.dll	GetNlsSectionName
-kernel32.dll	GetNumaAvailableMemory
+kernel32.dll	GetNumaAvailableMemoryNodeEx
+kernel32.dll	GetNumaNodeNumberFromHandle
-kernel32.dll	GetNumaProcessorMap
+kernel32.dll	GetNumaNodeProcessorMaskEx
+kernel32.dll	GetNumaProcessorNodeEx
+kernel32.dll	GetNumaProximityNode
+kernel32.dll	GetNumaProximityNodeEx
+kernel32.dll	GetNumberFormatEx
+kernel32.dll	GetOverlappedResultEx
+kernel32.dll	GetPackageApplicationIds
+kernel32.dll	GetPackageFamilyName
+kernel32.dll	GetPackageFullName
+kernel32.dll	GetPackageId
+kernel32.dll	GetPackageInfo
+kernel32.dll	GetPackagePath
+kernel32.dll	GetPackagePathByFullName
+kernel32.dll	GetPackagesByPackageFamily
+kernel32.dll	GetPhysicallyInstalledSystemMemory
+kernel32.dll	GetProcessDefaultCpuSets
+kernel32.dll	GetProcessGroupAffinity
+kernel32.dll	GetProcessIdOfThread
+kernel32.dll	GetProcessInformation
+kernel32.dll	GetProcessMitigationPolicy
+kernel32.dll	GetProcessPreferredUILanguages
+kernel32.dll	GetProcessWorkingSetSizeEx
+kernel32.dll	GetProcessorSystemCycleTime
+kernel32.dll	GetProductInfo
+kernel32.dll	GetQueuedCompletionStatusEx
+kernel32.dll	GetStagedPackagePathByFullName
+kernel32.dll	GetStateFolder
+kernel32.dll	GetStringScripts
+kernel32.dll	GetSystemAppDataKey
+kernel32.dll	GetSystemCpuSetInformation
+kernel32.dll	GetSystemDefaultLocaleName
+kernel32.dll	GetSystemFileCacheSize
+kernel32.dll	GetSystemFirmwareTable
+kernel32.dll	GetSystemPreferredUILanguages
+kernel32.dll	GetSystemTimePreciseAsFileTime
+kernel32.dll	GetThreadDescription
+kernel32.dll	GetThreadErrorMode
+kernel32.dll	GetThreadGroupAffinity
+kernel32.dll	GetThreadId
+kernel32.dll	GetThreadIdealProcessorEx
+kernel32.dll	GetThreadInformation
+kernel32.dll	GetThreadPreferredUILanguages
+kernel32.dll	GetThreadSelectedCpuSets
+kernel32.dll	GetThreadUILanguage
+kernel32.dll	GetTickCount64
+kernel32.dll	GetTimeFormatAWorker
+kernel32.dll	GetTimeFormatEx
+kernel32.dll	GetTimeFormatWWorker
+kernel32.dll	GetTimeZoneInformationForYear
+kernel32.dll	GetUILanguageInfo
+kernel32.dll	GetUserDefaultGeoName
+kernel32.dll	GetUserDefaultLocaleName
+kernel32.dll	GetUserPreferredUILanguages
+kernel32.dll	GetVolumeInformationByHandleW
+kernel32.dll	GetXStateFeaturesMask
+kernel32.dll	GlobalAddAtomExA
+kernel32.dll	GlobalAddAtomExW
-kernel32.dll	HeapCreateTagsW
-kernel32.dll	HeapExtend
-kernel32.dll	HeapQueryTagW
-kernel32.dll	HeapUsage
+kernel32.dll	IdnToAscii
+kernel32.dll	IdnToNameprepUnicode
+kernel32.dll	IdnToUnicode
+kernel32.dll	InitOnceBeginInitialize
+kernel32.dll	InitOnceComplete
+kernel32.dll	InitOnceExecuteOnce
+kernel32.dll	InitOnceInitialize
+kernel32.dll	InitializeConditionVariable
+kernel32.dll	InitializeContext
+kernel32.dll	InitializeCriticalSectionEx
+kernel32.dll	InitializeEnclave
+kernel32.dll	InitializeProcThreadAttributeList
+kernel32.dll	InitializeSRWLock
+kernel32.dll	InitializeSynchronizationBarrier
+kernel32.dll	InstallELAMCertificateInfo
+kernel32.dll	InterlockedCompareExchange64
+kernel32.dll	InterlockedPushListSList
+kernel32.dll	InterlockedPushListSListEx
+kernel32.dll	IsCalendarLeapDay
+kernel32.dll	IsCalendarLeapMonth
+kernel32.dll	IsCalendarLeapYear
+kernel32.dll	IsEnclaveTypeSupported
